CropDays,SoilMoisture,temperature,humidity,Irrigation,N,P,K,ph,rainfall,label
75,600,21,65,1,99,36,20,6.671085817,78.34604471,maize
77,149,18,70,0,13,61,24,7.629910253,49.39111479,lentil
87,649,21,70,1,23,55,16,5.111488821,185.2039114,pigeonpeas
87,649,21,70,1,11,74,17,6.633864582,46.6352865,lentil
96,278,18,70,0,13,61,24,7.629910253,49.39111479,lentil
103,320,15,80,0,40,140,195,6.294395676,71.63437433,grapes
103,320,15,80,0,34,133,202,5.804799142,74.82144653,grapes
106,569,21,70,1,23,55,16,5.111488821,185.2039114,pigeonpeas
106,569,21,70,1,11,74,17,6.633864582,46.6352865,lentil
108,200,19,69,0,66,44,20,6.740000688,80.72515943,maize
108,200,19,69,0,72,60,25,5.773454729,88.10234397,maize
111,430,21,70,1,23,55,16,5.111488821,185.2039114,pigeonpeas
111,430,21,70,1,11,74,17,6.633864582,46.6352865,lentil
114,220,18,65,0,26,66,22,6.300479414,51.54922825,lentil
116,340,18,70,0,13,61,24,7.629910253,49.39111479,lentil
120,560,20,68,0,19,79,19,6.677262562,42.89509057,lentil
10,380,25,21,1,17,77,23,5.670062975,64.19497947,kidneybeans
43,130,20,35,0,17,73,18,5.632353113,197.3752649,pigeonpeas
44,220,20,35,0,17,73,18,5.632353113,197.3752649,pigeonpeas
58,220,25,45,0,5,56,24,5.023115055,188.4928637,pigeonpeas
67,220,29,45,0,11,72,22,6.842744374,172.40168,pigeonpeas
67,220,29,45,0,17,57,20,3.793575185,66.1761456,mothbeans
76,239,25,40,0,16,70,20,5.6093956,121.5639121,pigeonpeas
7,250,22,19,0,9,80,19,5.945465949,125.0972687,kidneybeans
19,230,20,16,0,39,71,84,8.140825437,82.52339655,chickpea
19,230,20,16,0,53,65,76,8.719960893,77.33795356,chickpea
19,230,20,16,0,39,76,76,8.135900726,69.15759062,chickpea
72,260,25,40,0,16,70,20,5.6093956,121.5639121,pigeonpeas
77,480,30,34,1,9,66,21,5.719889876,157.0858232,pigeonpeas
79,250,25,45,0,5,56,24,5.023115055,188.4928637,pigeonpeas
90,250,25,45,0,5,56,24,5.023115055,188.4928637,pigeonpeas
1,500,20,60,1,83,58,23,6.381201909,65.50861389,maize
1,500,20,60,1,36,67,20,6.924042372,53.31508572,lentil
3,178,20,68,0,19,79,19,6.677262562,42.89509057,lentil
5,319,18,65,0,26,66,22,6.300479414,51.54922825,lentil
7,550,18,68,1,5,65,19,6.978361689,48.80253285,lentil
7,550,18,68,1,10,75,17,7.732194788,39.00992137,lentil
15,189,18,64,0,60,38,17,6.474476516,76.41312437,maize
16,321,19,65,0,63,43,17,6.807487794,71.3195307,maize
20,189,19,65,0,63,43,17,6.807487794,71.3195307,maize
26,538,18,68,1,5,65,19,6.978361689,48.80253285,lentil
26,538,18,68,1,10,75,17,7.732194788,39.00992137,lentil
30,230,18,65,0,26,66,22,6.300479414,51.54922825,lentil
36,607,18,65,1,26,66,22,6.300479414,51.54922825,lentil
40,239,18,65,0,26,66,22,6.300479414,51.54922825,lentil
44,449,18,64,0,60,38,17,6.474476516,76.41312437,maize
48,148,19,68,0,81,45,23,6.192360003,84.22969177,maize
48,148,19,68,0,99,39,18,6.11275104,87.85092352,maize
66,149,18,65,0,26,66,22,6.300479414,51.54922825,lentil
70,430,19,65,0,63,43,17,6.807487794,71.3195307,maize
72,578,20,61,1,95,38,22,5.730617109,100.7689246,maize
72,578,20,61,1,22,60,18,6.74398035,41.7704893,lentil
76,330,18,61,0,81,49,20,5.513697923,104.2321615,maize
88,657,18,65,1,26,66,22,6.300479414,51.54922825,lentil
96,430,18,65,0,26,66,22,6.300479414,51.54922825,lentil
102,250,18,64,0,60,38,17,6.474476516,76.41312437,maize
104,450,19,62,0,75,56,18,5.696205468,60.95197486,maize
104,450,19,62,0,60,57,24,6.121294041,75.03247667,maize
104,450,19,62,0,60,54,19,6.417820493,70.23401597,maize
106,660,18,67,1,74,56,22,6.829199275,80.97573281,maize
108,189,21,65,0,99,36,20,6.671085817,78.34604471,maize
110,310,20,64,0,87,60,23,6.439071996,62.50351892,maize
110,310,20,64,0,79,59,17,6.644205485,108.5054416,maize
110,310,20,64,0,7,63,24,6.818681086,53.04669416,lentil
112,467,19,63,0,13,61,22,7.728832424,46.83130119,lentil
112,467,19,63,0,13,64,20,6.590571088,36.46946971,lentil
112,467,19,63,0,10,78,18,6.296976913,44.07819743,lentil
115,678,19,62,1,75,56,18,5.696205468,60.95197486,maize
115,678,19,62,1,60,57,24,6.121294041,75.03247667,maize
115,678,19,62,1,60,54,19,6.417820493,70.23401597,maize
1,440,23,67,1,6,72,15,7.670178119,54.49044154,lentil
1,440,23,67,1,6,64,23,7.065264073,36.18678721,lentil
1,440,23,67,1,117,37,32,6.787658922,162.5769606,coffee
3,220,21,70,0,23,55,16,5.111488821,185.2039114,pigeonpeas
3,220,21,70,0,11,74,17,6.633864582,46.6352865,lentil
7,560,18,70,1,13,61,24,7.629910253,49.39111479,lentil
11,286,18,68,0,5,65,19,6.978361689,48.80253285,lentil
11,286,18,68,0,10,75,17,7.732194788,39.00992137,lentil
15,149,18,70,0,13,61,24,7.629910253,49.39111479,lentil
17,230,19,70,0,76,48,18,5.77597783,83.21030571,maize
19,350,15,80,0,40,140,195,6.294395676,71.63437433,grapes
19,350,15,80,0,34,133,202,5.804799142,74.82144653,grapes
21,550,19,70,1,76,48,18,5.77597783,83.21030571,maize
23,159,18,65,0,26,66,22,6.300479414,51.54922825,lentil
25,330,18,70,0,13,61,24,7.629910253,49.39111479,lentil
33,350,15,80,0,40,140,195,6.294395676,71.63437433,grapes
33,350,15,80,0,34,133,202,5.804799142,74.82144653,grapes
37,157,18,70,0,13,61,24,7.629910253,49.39111479,lentil
41,330,15,80,0,40,140,195,6.294395676,71.63437433,grapes
41,330,15,80,0,34,133,202,5.804799142,74.82144653,grapes
43,560,20,80,1,76,60,39,6.766240045,208.5810155,rice
43,560,20,80,1,35,125,204,6.107741788,73.69529586,grapes
45,129,18,70,0,13,61,24,7.629910253,49.39111479,lentil
49,349,18,65,0,26,66,22,6.300479414,51.54922825,lentil
51,550,19,65,1,63,43,17,6.807487794,71.3195307,maize
52,139,18,70,0,13,61,24,7.629910253,49.39111479,lentil
56,339,18,69,0,30,79,22,6.254216611,48.60449438,lentil
66,459,19,65,1,63,43,17,6.807487794,71.3195307,maize
72,330,19,70,0,76,48,18,5.77597783,83.21030571,maize
74,469,18,71,1,99,50,15,5.573286437,88.07753741,maize
82,469,21,65,1,99,36,20,6.671085817,78.34604471,maize
86,440,21,70,1,23,55,16,5.111488821,185.2039114,pigeonpeas
86,440,21,70,1,11,74,17,6.633864582,46.6352865,lentil
92,450,22,65,1,63,35,16,6.272417541,83.73280082,maize
92,450,22,65,1,2,79,15,7.505283615,35.75107592,lentil
92,450,22,65,1,12,80,19,5.962001484,36.10211371,lentil
94,179,21,65,0,99,36,20,6.671085817,78.34604471,maize
98,330,21,65,0,99,36,20,6.671085817,78.34604471,maize
100,530,19,69,1,66,44,20,6.740000688,80.72515943,maize
100,530,19,69,1,72,60,25,5.773454729,88.10234397,maize
102,130,20,64,0,87,60,23,6.439071996,62.50351892,maize
102,130,20,64,0,79,59,17,6.644205485,108.5054416,maize
102,130,20,64,0,7,63,24,6.818681086,53.04669416,lentil
104,330,22,60,0,86,55,21,6.803931519,109.7515385,maize
104,330,22,60,0,74,48,17,6.430616465,69.21803098,maize
104,330,22,60,0,71,35,24,5.826426917,67.96704792,maize
104,330,22,60,0,62,48,20,6.708446922,95.71388473,maize
106,629,24,59,1,79,45,20,5.715208817,89.9622014,maize
106,629,24,59,1,24,38,22,8.202706015,34.96933295,mothbeans
106,629,24,59,1,80,18,31,7.303033217,134.6803969,coffee
110,370,22,58,0,68,41,16,6.158830619,102.0861694,maize
112,670,24,55,1,111,27,31,6.043330951,191.3980675,coffee
114,199,25,53,0,22,43,24,4.52363558,46.19374559,mothbeans
116,356,25,52,0,81,30,31,7.027585559,135.1386537,coffee
118,630,26,52,1,94,26,27,7.456460375,177.3176161,coffee
118,630,26,52,1,111,29,31,6.136286518,161.3432535,coffee
118,630,26,52,1,86,40,33,7.432322234,136.3027766,coffee
118,630,26,52,1,117,32,34,6.758792552,127.1752928,coffee
120,189,25,50,0,36,56,20,7.437078236,31.87416982,mothbeans
124,623,28,45,1,35,80,25,4.895927306,197.1144011,pigeonpeas
124,623,28,45,1,17,56,17,5.9565851,69.66289997,mothbeans
124,623,28,45,1,22,28,26,4.947683034,92.84991507,mango
126,212,30,46,0,17,43,22,5.498340808,41.0550915,mothbeans
130,657,27,48,1,19,51,25,3.5253661,43.87801983,mothbeans
130,657,27,48,1,21,26,27,5.699586972,95.85118326,mango
132,211,26,46,0,2,51,17,5.838508699,38.53254678,mothbeans
134,478,28,45,0,35,80,25,4.895927306,197.1144011,pigeonpeas
134,478,28,45,0,17,56,17,5.9565851,69.66289997,mothbeans
134,478,28,45,0,22,28,26,4.947683034,92.84991507,mango
136,657,29,46,1,39,57,19,6.421748487,165.4113371,pigeonpeas
136,657,29,46,1,9,29,34,5.72742254,100.8124659,mango
136,657,29,46,1,12,27,26,5.32307197,96.23520043,mango
138,221,29,45,0,11,72,22,6.842744374,172.40168,pigeonpeas
138,221,29,45,0,17,57,20,3.793575185,66.1761456,mothbeans
150,222,31,32,0,17,64,16,7.161797643,180.716828,pigeonpeas
192,679,25,21,1,17,77,23,5.670062975,64.19497947,kidneybeans
198,178,21,24,0,6,77,25,5.792744849,69.63833855,kidneybeans
204,786,20,23,1,18,79,20,5.877347515,139.7521543,kidneybeans
204,786,20,23,1,24,67,22,5.618844277,104.6252153,kidneybeans
204,786,20,23,1,27,65,18,5.59503163,73.36386477,kidneybeans
206,167,20,25,0,27,64,15,5.514927264,138.2362122,kidneybeans
206,167,20,25,0,34,60,23,5.659254981,100.0497183,kidneybeans
206,167,20,25,0,11,72,20,5.951177452,113.334026,kidneybeans
206,167,20,25,0,14,67,15,5.690065688,139.2921004,kidneybeans
206,167,20,25,0,37,70,25,5.819403771,84.06354115,kidneybeans
210,611,22,19,1,9,80,19,5.945465949,125.0972687,kidneybeans
7,569,21,20,1,50,56,76,7.966605025,73.50734019,chickpea
7,569,21,20,1,44,59,78,7.599033472,84.78344008,chickpea
7,569,21,20,1,60,61,78,6.317153205,94.03659867,chickpea
7,569,21,20,1,22,79,17,5.912289889,116.5206923,kidneybeans
7,569,21,20,1,10,55,23,5.728233081,137.1948633,kidneybeans
7,569,21,20,1,8,72,17,5.711439256,87.87869161,kidneybeans
17,222,21,16,0,34,76,80,7.985417393,65.23811143,chickpea
23,450,21,17,1,58,70,84,6.231049028,74.6631118,chickpea
51,340,20,19,0,32,60,83,8.829273328,91.76071648,chickpea
51,340,20,19,0,29,75,75,7.064790365,88.4585692,chickpea
51,340,20,19,0,25,70,16,5.759237003,106.3598183,kidneybeans
51,340,20,19,0,28,80,17,5.809419584,144.1567454,kidneybeans
61,329,20,19,0,32,60,83,8.829273328,91.76071648,chickpea
61,329,20,19,0,29,75,75,7.064790365,88.4585692,chickpea
61,329,20,19,0,25,70,16,5.759237003,106.3598183,kidneybeans
61,329,20,19,0,28,80,17,5.809419584,144.1567454,kidneybeans
63,689,22,19,1,9,80,19,5.945465949,125.0972687,kidneybeans
79,369,21,17,0,58,70,84,6.231049028,74.6631118,chickpea
89,210,21,16,0,34,76,80,7.985417393,65.23811143,chickpea
97,398,25,18,0,37,74,15,5.582178402,62.7089169,kidneybeans
97,398,25,18,0,32,68,19,5.514234138,149.7441028,kidneybeans
101,201,21,14,0,31,70,77,6.492546046,90.46228334,chickpea
101,201,21,14,0,28,76,82,6.654425315,83.75937135,chickpea
101,201,21,14,0,32,71,85,6.403982316,92.06630306,chickpea
